,SNDL4,CTRM4,ZSAN4,Z0M4,AEZS4,GNUS4,ATOS4,TNXP4,CBBT4,URG4,KAVL4,OGEN4
0,0.6000000238418579,0.38100001215934753,1.059999942779541,1.0,0.7099999785423279,1.440000057220459,0.9599999785423279,1.0199999809265137,0.15000000596046448,0.8999999761581421,1.0399999618530273,1.090000033378601
1,0.5600000023841858,0.39100000262260437,1.0199999809265137,0.9559999704360962,0.6600000262260437,1.440000057220459,1.100000023841858,0.9900000095367432,0.19990000128746033,0.8299999833106995,1.309999942779541,1.0499999523162842
2,0.6010000109672546,0.5320000052452087,0.8809999823570251,1.0199999809265137,0.6800000071525574,1.3899999856948853,1.0499999523162842,0.949999988079071,0.16449999809265137,0.8500000238418579,1.2000000476837158,1.0499999523162842
3,0.824999988079071,0.6100000143051147,0.9350000023841858,0.9800000190734863,0.75,1.409999966621399,1.1799999475479126,0.9800000190734863,0.13099999725818634,0.800000011920929,1.100000023841858,0.9300000071525574
4,0.8149999976158142,0.6200000047683716,0.9200000166893005,0.9049999713897705,0.7300000190734863,1.4900000095367432,1.25,0.9800000190734863,0.13899999856948853,0.7599999904632568,1.190000057220459,0.8999999761581421
5,1.2100000381469727,0.7099999785423279,0.9800000190734863,0.953000009059906,0.6899999976158142,1.4299999475479126,1.25,0.9700000286102295,0.13850000500679016,0.8299999833106995,1.2000000476837158,0.9200000166893005
6,1.0399999618530273,0.6449999809265137,0.9700000286102295,0.9200000166893005,0.699999988079071,1.3899999856948853,1.409999966621399,1.0499999523162842,0.13729999959468842,0.8500000238418579,1.2300000190734863,0.9399999976158142
7,1.2100000381469727,0.6899999976158142,1.0199999809265137,1.100000023841858,1.0,1.409999966621399,1.5399999618530273,1.2000000476837158,0.14550000429153442,0.8500000238418579,1.3600000143051147,0.9800000190734863
8,1.149999976158142,0.6740000247955322,1.100000023841858,1.0800000429153442,0.949999988079071,1.4600000381469727,1.6699999570846558,1.3300000429153442,0.17945000529289246,0.8299999833106995,1.440000057220459,1.0099999904632568
9,1.1299999952316284,0.7549999952316284,1.100000023841858,1.1399999856948853,1.0800000429153442,1.5700000524520874,1.8700000047683716,1.2699999809265137,0.23000000417232513,0.8399999737739563,1.7999999523162842,1.0099999904632568
10,1.2799999713897705,0.9890000224113464,1.9299999475479126,1.5,1.1100000143051147,1.7799999713897705,2.9800000190734863,1.5499999523162842,0.3675000071525574,0.8700000047683716,2.5299999713897705,1.0499999523162842
11,1.649999976158142,1.059999942779541,1.9900000095367432,1.909999966621399,3.3399999141693115,1.690000057220459,2.609999895095825,1.6100000143051147,0.3700000047683716,1.1100000143051147,3.25,1.2999999523162842
12,2.950000047683716,1.190000057220459,1.7699999809265137,2.700000047683716,2.200000047683716,3.059999942779541,2.2200000286102295,1.6299999952316284,0.38999998569488525,1.190000057220459,3.0,1.5199999809265137
13,2.380000114440918,1.7300000190734863,1.590000033378601,2.319999933242798,1.909999966621399,1.9700000286102295,2.0799999237060547,2.0,0.30250000953674316,1.0700000524520874,2.5999999046325684,1.4700000286102295
14,2.0799999237060547,1.4700000286102295,1.6299999952316284,2.549999952316284,1.909999966621399,1.7799999713897705,2.2100000381469727,1.8200000524520874,0.32199999690055847,1.0099999904632568,2.7799999713897705,1.3799999952316284
